?X,Y,building
20.95250073,41.51860935,yes
21.40024207,42.00768255,yes
21.5716708,41.99729825,yes
21.44272503,42.00580496,yes
20.74455835,40.91494125,retail
22.19781066,41.74231207,yes
22.19308235,41.73753285,yes
22.19962716,41.73784498,yes
22.7784699,41.9635057,yes
20.96032674,41.98680399,yes
22.18529584,41.74640125,yes
21.4625798,42.00080572,yes
21.46480785,42.00310595,yes
21.42051673,41.99224021,industrial
21.39410269,41.99358365,yes
21.41347224,41.9988412,yes
21.72920512,42.13480595,yes
21.37628951,42.0062074,yes
21.37363105,42.0074425,yes
21.37593428,42.0071241,shop
21.41771865,42.0001483,yes
21.4185737,41.99703315,yes
21.42028185,41.993468,yes
21.50574385,42.0039273,yes
21.42362642,41.99986745,residential
21.4225483,41.9965991,yes
21.39599771,41.99444185,retail
21.42131335,41.99291775,yes
21.42561875,41.99731765,yes
21.41908924,41.98952252,yes
21.4282462,41.984092,yes
21.46706756,41.97830619,retail
21.4656778,41.97900305,retail
21.72017139,42.13117455,yes
21.67614599,42.02569435,retail
21.41443988,42.000093,house
21.43732058,41.98986003,yes
21.39170253,42.00201465,retail
21.38938339,42.005033,yes
21.39150048,42.00204125,retail
21.452808,42.01966745,yes
21.30517781,41.67728015,yes
21.44476429,42.0122406,yes
21.48291299,41.95531515,shop
21.54756071,41.35112055,yes
21.4260809,42.00110532,yes
21.58713949,41.99069749,yes
20.7090508,41.64836119,house
